Assembly	[C]omplete BUSCOs	Complete and [S]ingle-copy BUSCOs	Complete and [D]uplicated BUSCOs	[F]ragmented BUSCOs	[M]issing BUSCOs	Name
GCA_000002515.1	1610	1607	3	6	90	Kluyveromyces lactis NRRL Y-1140
GCA_000002525.1	1583	1575	8	5	118	Yarrowia lipolytica CLIB122 CLIB122
GCA_000002545.2	1601	1563	38	4	101	[Candida] glabrata CBS 138
GCA_000003835.1	1564	1561	3	18	124	Clavispora lusitaniae ATCC 42720 ATCC 42720
GCA_000006335.3	1593	1582	11	9	104	Candida tropicalis MYA-3404 MYA-3404
GCA_000006445.2	1667	1664	3	2	37	Debaryomyces hansenii CBS767 CBS767
GCA_000026365.1	1631	1628	3	4	71	Zygosaccharomyces rouxii CBS 732
GCA_000026945.1	1615	1607	8	4	87	Candida dubliniensis CD36 CD36
GCA_000027005.1	1594	1590	4	9	103	Komagataella phaffii GS115 GS115
GCA_000091025.4	1581	1579	2	11	114	Eremothecium gossypii ATCC 10895 ATCC 10895
GCA_000142805.1	1638	1637	1	7	61	Lachancea thermotolerans CBS 6340 CBS 6340
GCA_000146045.2	1627	1544	83	5	74	Saccharomyces cerevisiae S288C S288C
GCA_000147375.2	1467	199	1268	84	155	Wickerhamomyces anomalus NRRL Y-366 NRRL Y-366
GCA_000149225.1	1658	1649	9	5	43	Lachancea kluyveri NRRL Y-12651 NRRL Y-12651
GCA_000149365.1	1612	1534	78	6	88	Saccharomyces cerevisiae RM11-1a RM11-1a
GCA_000149425.1	1598	1595	3	14	94	Meyerozyma guilliermondii ATCC 6260 ATCC 6260
GCA_000149445.2	1594	1584	10	7	105	Candida albicans WO-1 WO-1
GCA_000149685.1	1549	1544	5	14	143	Lodderomyces elongisporus NRRL YB-4239 NRRL YB-4239
GCA_000150035.1	1588	1513	75	8	110	Vanderwaltozyma polyspora DSM 70294 DSM 70294
GCA_000151485.1	1622	1543	79	5	79	Saccharomyces cerevisiae Sigma1278b Sigma1278b
GCA_000166955.1	1575	1498	77	20	111	Saccharomyces paradoxus NRRL Y-17217 NRRL Y-17217
GCA_000166975.1	1429	1369	60	79	198	Saccharomyces mikatae IFO 1815 IFO 1815
GCA_000166995.1	1463	1392	71	51	192	Saccharomyces uvarum CLIB 533 MCYC 623
GCA_000167015.1	1552	1472	80	24	130	Naumovozyma castellii NRRL Y-12630 NRRL Y-12630
GCA_000167035.1	1571	1488	83	23	112	Saccharomyces uvarum CLIB 533 623-6C
GCA_000167055.1	1016	966	50	240	450	Saccharomyces mikatae IFO 1815 IFO 1815
GCA_000167075.2	1197	1149	48	171	338	Saccharomyces kudriavzevii IFO 1802 IFO 1802
